country,lifeExp,gdpPercap,total_emission,per_capita_emissions
Argentina,75.32,12779.37964,149476.04,3.819
Bolivia,65.554,3822.1370840000004,8975.809,0.984
Brazil,72.39,9065.800825,311623.799,1.667
Canada,80.65300000000002,36319.23501,540431.495,16.762
Chile,78.553,13171.63885,54434.634,3.343
Colombia,72.889,7006.580419,53585.3,1.238
Costa Rica,78.782,9645.06142,5463.059,1.286
Cuba,78.273,8948.102923,25051.431,2.22
Dominican Republic,72.235,6025.374752,17522.139,1.897
Ecuador,74.994,6873.262325999999,23926.725,1.742
El Salvador,71.878,5728.353514,6252.815,1.037
Guatemala,70.259,5186.050003,10621.597,0.811
Haiti,60.916,1201.637154,1980.992,0.214
Honduras,70.198,3548.330846,7192.737,0.976
Jamaica,72.567,7320.880262000001,10281.648,3.746
Mexico,76.195,11977.57496,412385.135,3.854
Nicaragua,72.899,2749.320965,4032.083,0.75
Panama,75.537,9809.185636,6776.118,2.035
Paraguay,71.752,4172.838464,3472.665,0.599
Peru,71.421,7408.905561,28632.888,1.037
Trinidad and Tobago,69.819,18008.50924,17175.823,13.243
United States,78.24851304439883,42646.38070185649,5703220.175,19.268
Uruguay,76.384,10611.46299,5151.871,1.549
Venezuela,73.747,11415.80569,137701.548,5.141
